core,seq_1,seq_2,seq_3,seq_4,seq_5,seq_6,seq_7,seq_8,seq_9,seq_10,seq_11,seq_12,seq_13,seq_14,seq_15,seq_16,seq_17,seq_18,seq_19,seq_20,seq_21,seq_22,seq_23,seq_24,seq_25,seq_26,seq_27,seq_28,seq_29,seq_30,seq_31,seq_32,seq_33
0,16,272,12,268,500,756,516,772,17,980,273,1236,13,996,269,1252,485,1508,741,1764,997,1560,501,1816,757,138,1013,394,1269,182,1317,438,1573
1,20,276,32,288,504,760,520,776,21,984,277,1240,33,1000,289,1256,489,1512,745,1768,1001,1564,505,1820,761,142,1017,398,1273,186,1321,442,1577
2,24,280,36,292,508,764,524,780,25,988,281,1244,37,1004,293,1260,493,1516,749,1772,1005,1584,509,1840,765,162,1021,418,1277,190,1325,446,1581
3,28,284,40,296,528,784,544,800,29,1008,285,1264,41,1024,297,1280,513,1536,769,1792,1025,1588,529,1844,785,166,1041,422,1297,210,1345,466,1601
4,48,304,44,300,532,788,548,804,49,1012,305,1268,45,1028,301,1284,517,1540,773,1796,1029,1592,533,1848,789,170,1045,426,1301,214,1349,470,1605
5,52,308,64,320,536,792,552,808,53,1016,309,1272,65,1032,321,1288,521,1544,777,1800,1033,1596,537,1852,793,174,1049,430,1305,218,1353,474,1609
6,56,312,68,324,540,796,556,812,57,1020,313,1276,69,1036,325,1292,525,1548,781,1804,1037,1616,541,1872,797,194,1053,450,1309,222,1357,478,1613
7,60,316,72,328,560,816,576,832,61,1040,317,1296,73,1056,329,1312,545,1568,801,1824,1057,1620,561,1876,817,198,1073,454,1329,242,1377,498,1633
8,80,336,76,332,564,820,580,836,81,1044,337,1300,77,1060,333,1316,549,1572,805,1828,1061,1624,565,1880,821,202,1077,458,1333,246,1381,486,1637
9,84,340,96,352,568,824,584,840,85,1048,341,1304,97,1064,353,1320,553,1576,809,1832,1065,1628,569,1884,825,206,1081,462,1337,250,1385,490,1641
10,88,344,100,356,572,828,588,844,89,1052,345,1308,101,1068,357,1324,557,1580,813,1836,1069,1648,573,1904,829,226,1085,482,1341,254,1389,494,1645
11,92,348,104,360,592,848,608,864,93,1072,349,1328,105,1088,361,1344,577,1600,833,1856,1089,1652,593,1908,849,230,1105,18,1361,274,1409,514,1665
12,112,368,108,364,596,852,612,868,113,1076,369,1332,109,1092,365,1348,581,1604,837,1860,1093,1656,597,1912,853,234,1109,22,1365,278,1413,518,1669
13,116,372,128,384,600,856,616,872,117,1080,373,1336,129,1096,385,1352,585,1608,841,1864,1097,1660,601,1916,857,238,1113,26,1369,282,1417,522,1673
14,120,376,132,388,604,860,620,876,121,1084,377,1340,133,1100,389,1356,589,1612,845,1868,1101,1680,605,2,861,258,1117,30,1373,286,1421,526,1677
15,124,380,136,392,624,880,640,896,125,1104,381,1360,137,1120,393,1376,609,1632,865,1888,1121,1684,625,6,881,262,1137,50,1393,306,1441,546,1697
16,144,400,140,396,628,884,644,900,145,1108,401,1364,141,1124,397,1380,613,1636,869,1892,1125,1688,629,10,885,266,1141,54,1397,310,1445,550,1701
17,148,404,160,416,632,888,648,904,149,1112,405,1368,161,1128,417,1384,617,1640,873,1896,1129,1692,633,14,889,270,1145,58,1401,314,1449,554,1705
18,152,408,164,420,636,892,652,908,153,1116,409,1372,165,1132,421,1388,621,1644,877,1900,1133,1712,637,34,893,290,1149,62,1405,318,1453,558,1709
19,156,412,168,424,656,912,672,928,157,1136,413,1392,169,1152,425,1408,641,1664,897,1460,1153,1716,657,38,913,294,1169,82,1425,338,1473,578,1729
20,176,432,172,428,660,916,676,932,177,1140,433,1396,173,1156,429,1412,645,1668,901,1464,1157,1720,661,42,917,298,1173,86,1429,342,1477,582,1733
21,180,436,192,448,664,920,680,936,181,1144,437,1400,193,1160,449,1416,649,1672,905,1468,1161,1724,665,46,921,302,1177,90,1433,346,1481,586,1737
22,184,440,196,452,668,924,684,940,185,1148,441,1404,197,1164,453,1420,653,1676,909,1488,1165,1744,669,66,925,322,1181,94,1437,350,1485,590,1741
23,188,444,200,456,688,944,704,960,189,1168,445,1424,201,1184,457,1440,673,1696,929,1492,1185,1748,689,70,945,326,1201,114,1457,370,1505,610,1761
24,208,464,204,460,692,948,708,209,1172,465,1428,205,1188,461,1444,677,1700,933,1496,1189,1752,693,74,949,330,1205,118,1253,374,1509,614,1461
25,212,468,224,480,696,952,712,213,1176,469,1432,225,1192,481,1448,681,1704,937,1500,1193,1756,697,78,953,334,1209,122,1257,378,1513,618,1465
26,216,472,228,700,956,716,217,1180,473,1436,229,1196,1452,685,1708,941,1520,1197,1776,701,98,957,354,1213,126,1261,382,1517,622,1469
27,220,476,232,720,976,736,221,1200,477,1456,233,1216,1472,705,1728,961,1524,1217,1780,721,102,977,358,1233,146,1281,402,1537,642,1489
28,240,496,236,724,484,740,241,1204,497,964,237,1220,1476,709,1732,965,1528,1221,1784,725,106,981,362,1237,150,1285,406,1541,646,1493
29,244,0,256,728,488,744,245,1208,1,968,257,1224,1480,713,1736,969,1532,1225,1788,729,110,985,366,1241,154,1289,410,1545,650,1497
30,248,4,260,732,492,748,249,1212,5,972,261,1228,1484,717,1740,973,1552,1229,1808,733,130,989,386,1245,158,1293,414,1549,654,1501
31,252,8,264,752,512,768,253,1232,9,992,265,1248,1504,737,1760,993,1556,1249,1812,753,134,1009,390,1265,178,1313,434,1569,674,1521
